timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1762212725640,984,2.1 - GET - /api/v1/stats/overview,200,OK,Thread Group 1-6,text,true,,630,163,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/overview,,984,UTF-8,1,0,workstation-1,0,0
1762212726116,822,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-9,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,822,UTF-8,1,0,workstation-1,0,0
1762212726132,826,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-5,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,826,UTF-8,1,0,workstation-1,0,0
1762212726029,969,2.1 - GET - /api/v1/stats/overview,200,OK,Thread Group 1-10,text,true,,630,163,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/overview,,969,UTF-8,1,0,workstation-1,0,0
1762212726435,820,1.4 - GET - /api/v1/health/,200,OK,Thread Group 1-4,text,true,,380,156,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/health/,,820,UTF-8,1,0,workstation-1,0,0
1762212725371,2307,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-3,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,2307,UTF-8,1,0,workstation-1,0,0
1762212725639,2090,1.3 - GET - /api/v1/books/filters?title=&category=,200,OK,Thread Group 1-2,text,true,,392553,179,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/filters?title=&category=,,2076,UTF-8,1,0,workstation-1,0,0
1762212725611,2123,1.5 - GET - /api/v1/books,200,OK,Thread Group 1-1,text,true,,416067,154,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books,,2104,UTF-8,1,0,workstation-1,0,0
1762212725728,2234,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-7,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,2234,UTF-8,1,0,workstation-1,0,0
1762212726938,1295,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-9,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,1295,UTF-8,1,0,workstation-1,0,0
